Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;média;desvio;confianca
External Fragmentation Per Link;1;<4-1>; ;0.401940417245475;0.39029266415676106;0.40264704547711455;0.4082930994503212;0.42571258459330646;0.40045984228977133;0.4165262593759321;0.40396898959294536;0.4203699005798837;0.4083588720705187;;;;
External Fragmentation Per Link;1;<13-9>; ;0.49759351947865604;0.48718330106397245;0.48676019096508577;0.5236557568190126;0.49388496576302654;0.4875716377457394;0.5047440483893308;0.5078009297115067;0.511997089471052;0.4853500037186536;;;;
External Fragmentation Per Link;1;<13-8>; ;0.3272942262881025;0.326969439628879;0.32072326322052414;0.3438241007668648;0.3126846995045881;0.33431630435554877;0.32963051046652236;0.3317463185034843;0.33273012389923484;0.3353945798266197;;;;
External Fragmentation Per Link;1;<4-3>; ;0.374259567827738;0.37736293855161607;0.3653866497943654;0.37601211183079725;0.37797057122979316;0.38927303145394315;0.3886816908800857;0.38328233144478935;0.37677600082281326;0.36639806500044547;;;;
External Fragmentation Per Link;1;<6-5>; ;0.48042937473947767;0.48676962002527135;0.4599402269905415;0.4393897009526569;0.5030819120158238;0.48369223955221385;0.4467101180545807;0.4667636147770985;0.47673279357656784;0.4654502694084036;;;;
External Fragmentation Per Link;1;<4-8>; ;0.40735831912162834;0.39838991063342377;0.3912984495171361;0.41504198131975933;0.3968321463168664;0.4061556296813187;0.4110570246405783;0.4096273146992349;0.41064011382346;0.39438864527616113;;;;
External Fragmentation Per Link;1;<8-4>; ;0.41047381280527834;0.40292337962088187;0.3816992758888499;0.40117552727010114;0.42058727917181976;0.4061341417081891;0.405792510614194;0.4039005029714929;0.41785846048088837;0.38864324273035294;;;;
External Fragmentation Per Link;1;<13-14>; ;0.502834733704499;0.5107933972279408;0.5020587026614797;0.496997687905667;0.5099502015812449;0.4941767971007879;0.49314267865049133;0.48460379549703947;0.4930502902852345;0.501857324948402;;;;
External Fragmentation Per Link;1;<18-24>; ;0.5212820271813092;0.5125519688064337;0.5213174793853768;0.49339979120440186;0.5103830334132529;0.5087086071600522;0.49775754402137107;0.5052181917325137;0.503548439761684;0.5165360825821553;;;;
External Fragmentation Per Link;1;<8-9>; ;0.3949774812585392;0.3811161096285632;0.38603733011776337;0.4005347754172982;0.3848528240131554;0.3965394447912667;0.3940781664021493;0.394388570662952;0.3972197710555405;0.3794142490361211;;;;
External Fragmentation Per Link;1;<13-15>; ;0.3922046793530233;0.3829370426629825;0.3824835409916454;0.3736097103748945;0.39339890811296185;0.38797193138019676;0.3996034120789588;0.3976894718968078;0.3819679869453907;0.3889568734193266;;;;
External Fragmentation Per Link;1;<20-25>; ;0.41060725018160515;0.4318247071045356;0.4157093213208457;0.4189459995732556;0.4116830889466031;0.41461294148895855;0.39928467635010556;0.4166094839304946;0.4087125443295099;0.381525328602513;;;;
External Fragmentation Per Link;1;<13-12>; ;0.38740979725999797;0.37658727605052655;0.39797007193557854;0.396978019024791;0.3843036530548879;0.408536655086178;0.39691129851613677;0.3872284877911385;0.393096776722632;0.4080033400502804;;;;
External Fragmentation Per Link;1;<10-22>; ;0.2015783963570041;0.21289931254836394;0.22173402242117862;0.21026431853078184;0.19945574956256754;0.21068602504739334;0.21126097136501448;0.20857305554671612;0.21326222688204552;0.2064718130518499;;;;
External Fragmentation Per Link;1;<23-17>; ;0.49304670072746504;0.4648036581880758;0.4820717987520835;0.48126466458414874;0.4583042472674205;0.46599971270768936;0.4958302935633032;0.4769978352170919;0.4721780875063755;0.45687231288743696;;;;
External Fragmentation Per Link;1;<17-11>; ;0.484557667504019;0.4739311005756081;0.4639093584891414;0.4779300730665886;0.4891247804031004;0.46386594867160186;0.4848938451633722;0.49126210210440163;0.4811232262999149;0.4523065869238985;;;;
External Fragmentation Per Link;1;<3-12>; ;0.4438684336542143;0.4243722585512591;0.43231831090926837;0.4534862612101112;0.4496680945160508;0.3957364229994249;0.44740054772896565;0.43324138283718583;0.4302099005673433;0.4308386344448994;;;;
External Fragmentation Per Link;1;<3-11>; ;0.36466551088593524;0.3683201207619598;0.3719924754126398;0.3561728483224855;0.35372219329795507;0.3602110053476869;0.36534675941289946;0.3553955121078735;0.35251985983948203;0.3588202175542045;;;;
External Fragmentation Per Link;1;<28-25>; ;0.4339926577275888;0.4274968571618014;0.4239161680690668;0.42441238042689794;0.4094440883390869;0.4322709197617559;0.4321330799285928;0.3958523954278022;0.4226268550451736;0.4293714472251354;;;;
External Fragmentation Per Link;1;<24-23>; ;0.4419454567556348;0.43840155297011385;0.4438175082543786;0.4231970040215338;0.43372904688218195;0.41888917285557903;0.4244023055215;0.4417598623929236;0.44399207438223465;0.4386291291156244;;;;
External Fragmentation Per Link;1;<28-27>; ;0.2683914820380003;0.2620758789839397;0.28386875939068323;0.28455622613156156;0.311875987653743;0.2879520392758427;0.28234624389390256;0.27736716216145824;0.28669750435972946;0.26196183447012067;;;;
